loan_amnt,purpose,revenue,dti_n,fico_n,home_ownership_n,emp_length_n,Default
32000,car,135000,18.93,687,MORTGAGE,1,0
32000,car,90000,9.29,822,MORTGAGE,10,1
30000,car,95000,1.34,722,RENT,11,0
25750,car,230000,6.42,747,MORTGAGE,11,0
25200,car,72000,30.95,692,OWN,11,0
25000,car,52000,26.47,752,RENT,4,0
24000,car,120000,23.85,677,OWN,11,0
24000,car,150000,11.22,677,MORTGAGE,4,0
24000,car,71959,0.43,667,RENT,7,0
21000,car,80000,10.19,737,OWN,11,0
20150,car,160300,18.92,677,RENT,11,1
20000,car,90000,17.33,747,RENT,11,1
20000,car,52000,16.69,667,MORTGAGE,11,0
20000,car,72000,11.38,682,MORTGAGE,0,0
20000,car,114000,8.13,827,RENT,10,0
18200,car,51000,8.8,677,RENT,0,0
18000,car,47000,24.04,662,OWN,5,1
18000,car,80000,16.12,812,RENT,2,0
16000,car,69640,10.36,757,MORTGAGE,3,0
15200,car,55300,15.08,742,MORTGAGE,11,0
15000,car,80000,28.07,702,MORTGAGE,11,1
15000,car,54000,17.53,712,RENT,3,1
15000,car,56000,8.42,677,MORTGAGE,0,0
15000,car,68000,4.17,697,RENT,3,0
14000,car,60000,12.72,722,RENT,2,0
14000,car,67600,9.99,677,OWN,11,0
12650,car,38000,6.25,732,MORTGAGE,11,0
12600,car,60000,14.74,712,MORTGAGE,6,0
12000,car,62000,33.62,737,MORTGAGE,11,0
12000,car,85000,29.22,722,OWN,4,0
12000,car,70000,19.96,697,OWN,11,0
12000,car,150000,14.57,717,MORTGAGE,1,0
12000,car,68000,10.25,712,OWN,4,0
12000,car,82000,6.07,732,MORTGAGE,5,0
11500,car,135000,10.43,737,MORTGAGE,1,0
11500,car,32000,7.88,697,RENT,10,0
11500,car,25000,5.52,717,RENT,6,0
11450,car,65000,21.01,677,RENT,4,0
11200,car,56244,21.14,667,RENT,1,0
11200,car,75000,17.12,747,RENT,11,0
11075,car,53000,3.35,692,MORTGAGE,2,0
